timestamp,gpu_util_%,vram_used_mb
1779676426.8708076,66,17155
1779676427.3764496,65,17154
1779676427.8771894,64,17154
1779676428.3796742,64,17154
1779676428.880333,69,17153
1779676429.3809938,56,17153
1779676429.8817453,72,17152
1779676430.3824832,71,17152
1779676430.8827372,71,17151
1779676431.3876727,68,17149
1779676431.888346,76,17150
1779676432.3886883,37,17152
1779676432.8926687,56,17153
1779676433.3933456,69,17153
1779676433.8936772,77,17153
1779676434.394374,65,17144
1779676434.8951502,64,17144
1779676435.3956664,32,17144
1779676435.8963869,28,17145
1779676436.3970387,72,17145
1779676436.9016252,68,17145
1779676437.4023209,79,17144
1779676437.9030333,67,17144
1779676438.403686,36,17134
1779676438.9044263,36,17134
1779676439.405122,40,17138
1779676439.9058142,41,17138
1779676440.4064546,46,17139
1779676440.9071348,47,17145
1779676441.4078295,45,17148
1779676441.9084797,46,17149
1779676442.4086797,46,17149
1779676442.9093046,65,17149
1779676443.4096699,100,17151
1779676443.9102263,100,17151
1779676444.410651,100,17152
1779676444.9111977,100,17152
1779676445.4116685,100,17151
1779676445.912226,100,17154
1779676446.412669,100,17154
1779676446.913269,100,17154
1779676447.4147267,80,17152
1779676447.91766,72,17153
1779676448.4182725,70,17153
1779676448.9216757,67,17155
1779676449.4224648,66,17155
1779676449.9236846,68,17155
1779676450.4245067,64,17153
1779676450.9277942,69,17153
1779676451.4287527,72,17153
1779676451.92954,65,17145
1779676452.4316864,76,17146
1779676452.932561,70,17146
1779676453.437717,65,17145
1779676453.9385767,70,17150
1779676454.4392815,69,17150
1779676454.9397542,45,17151
1779676455.4404685,54,17155
1779676455.9436924,64,17157
1779676456.4445958,64,17165
1779676456.9476824,65,17165
1779676457.4485047,69,17163
1779676457.9493062,28,17171
1779676458.4497964,32,17171
1779676458.9504375,70,17175
1779676459.4507186,73,17175
1779676459.9517095,71,17176
1779676460.4526412,76,17176
1779676460.9534187,70,17175
1779676461.453763,26,17175
1779676461.9545825,28,17183
1779676462.4552524,68,17183
1779676462.955688,69,17180
1779676463.456484,69,17182
1779676463.9567306,62,17181
1779676464.4575815,48,17181
1779676464.958236,67,17179
1779676465.4590597,64,17179
1779676465.9597266,66,17176
1779676466.4637008,67,17176
1779676466.9644866,52,17176
1779676467.4666908,38,17176
1779676467.9675303,70,17173
1779676468.46848,65,17176
1779676468.970674,68,17181
1779676469.4708533,71,17185
1779676469.9715714,60,17185
1779676470.4722278,67,17185
1779676470.9756882,66,17187
1779676471.4761622,71,17192
1779676471.9767466,65,17192
1779676472.4774597,51,17192
1779676472.9777396,34,17191
1779676473.478604,41,17190
1779676473.9792655,72,17189
1779676474.4797668,68,17178
1779676474.9816694,62,17178
1779676475.4823408,69,17173
1779676475.9827604,67,17172
1779676476.4834445,34,17157
1779676476.9837167,67,17156
1779676477.484422,71,17153
1779676477.9847813,59,17152
1779676478.4855623,66,17152
1779676478.986074,68,17152
1779676479.4866958,71,17154
1779676479.9874294,64,17154
1779676480.489678,61,17155
1779676480.9903812,63,17155
1779676481.491116,67,17154
1779676481.9937015,73,17153
1779676482.4944322,70,17153
1779676482.9966965,64,17152
1779676483.4974682,61,17153
1779676483.9977303,68,17153
1779676484.5006921,38,17153
1779676485.0028446,60,17153
1779676485.503663,32,17152
1779676486.0043733,75,17153
1779676486.5057008,68,17159
1779676487.0064626,65,17160
1779676487.50727,65,17176
