pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
0,145.15,109.479,29.557,5.973,0
1,161.585,125.496,31.051,4.926,0
2,156.468,113.58,37.781,4.946,0
3,149.228,103.182,40.686,5.201,0
4,149.933,116.658,27.148,6.025,0
5,150.453,110.489,34.933,4.913,0
6,148.548,106.036,37.495,4.865,0
7,148.069,102.202,40.864,4.879,0
8,151.616,117.332,29.059,5.099,0
9,146.59,112.843,28.548,5.093,0
10,126.878,94.364,27.586,4.827,0
11,124.666,91.084,28.759,4.743,0
12,123.412,91.846,26.769,4.69,0
13,122.652,91.843,25.894,4.831,0
14,121.772,91.548,25.416,4.693,0
15,138.716,104.812,29.083,4.698,0
16,145.033,112.125,27.757,5.044,0
17,132.218,97.598,29.616,4.899,0
18,118.166,85.94,27.048,5.043,0
19,120.497,89.765,26.033,4.597,0
20,119.381,89.277,24.343,5.665,0
21,104.031,79.802,21.601,2.558,0
22,83.096,71.469,9.013,2.548,0
23,75.902,64.633,8.68,2.551,0
24,78.003,66.85,8.602,2.515,0
25,74.592,63.785,8.303,2.471,0
26,76.932,65.808,8.596,2.488,0
27,77.445,66.293,8.548,2.571,0
28,74.726,62.955,9.258,2.483,0
29,72.819,62.419,7.918,2.45,0
30,75.204,63.872,8.488,2.814,0
31,72.767,62.161,8.127,2.447,0
32,72.917,61.463,9.039,2.38,0
33,70.68,60.245,7.998,2.408,0
34,71.3,60.643,8.157,2.474,0
35,68.538,58.364,7.804,2.341,0
36,70.448,59.13,8.744,2.548,0
37,66.454,56.44,7.639,2.354,0
38,68.909,58.36,8.082,2.445,0
39,69.854,58.842,8.59,2.398,0
40,66.254,56.207,7.684,2.338,0
41,66.133,55.913,7.813,2.383,0
42,70.895,59.611,8.806,2.458,0
43,67.108,57.01,7.641,2.436,0
44,65.822,55.789,7.665,2.322,0
45,69.037,58.806,7.785,2.416,0
46,66.192,56.13,7.625,2.413,0
47,67.425,57.462,7.578,2.36,0
48,67.724,57.629,7.762,2.313,0
49,66.431,56.334,7.765,2.31,0
50,66.436,55.882,8.192,2.341,0
51,66.155,56.136,7.646,2.353,0
52,65.907,55.978,7.535,2.376,0
53,63.679,53.912,7.402,2.35,0
54,64.231,54.149,7.686,2.38,0
55,66.651,56.717,7.527,2.39,0
56,64.539,54.528,7.617,2.377,0
57,64.169,54.334,7.545,2.274,0
58,64.078,54.066,7.651,2.345,0
59,66.273,56.359,7.533,2.365,0
60,66.237,55.164,8.648,2.407,0
61,65.156,55.168,7.585,2.386,0
62,64.069,54.295,7.416,2.341,0
63,67.219,57.41,7.396,2.395,0
64,64.246,54.378,7.49,2.361,0
65,64.651,54.845,7.433,2.356,0
66,65.085,55.276,7.452,2.338,0
67,65.91,55.126,8.419,2.348,0
68,64.695,53.79,8.543,2.343,0
69,63.607,53.887,7.37,2.333,0
70,64.984,55.047,7.552,2.368,0
71,82.618,70.493,9.468,2.631,0
72,72.574,62.231,7.923,2.377,0
73,67.851,57.764,7.759,2.311,0
74,93.08,57.541,33.147,2.375,0
75,122.405,87.336,32.713,2.34,0
76,122.819,88.511,31.915,2.378,0
77,114.683,88.467,23.83,2.371,0
78,123.935,88.49,33.103,2.328,0
79,122.939,88.525,32.055,2.343,0
80,123.13,88.651,32.006,2.459,0
81,123.401,88.048,33.021,2.317,0
82,122.878,88.676,31.951,2.237,0
83,122.507,87.547,32.664,2.282,0
84,124.013,89.729,31.917,2.352,0
85,125.578,90.036,33.058,2.469,0
86,120.802,86.651,31.876,2.26,0
87,122.534,87.261,32.958,2.301,0
88,125.808,90.204,33.102,2.487,0
89,124.143,87.451,34.436,2.242,0
90,122.034,87.678,31.958,2.383,0
91,123.586,89.476,31.81,2.284,0
92,123.371,89.113,31.94,2.304,0
93,122.774,87.204,33.155,2.402,0
94,122.437,88.025,31.989,2.409,0
95,122.799,88.565,31.903,2.317,0
