timestamp,gpu_util_%,vram_used_mb
1779676607.4981658,66,17147
1779676608.0003293,70,17147
1779676608.5011222,36,17147
1779676609.0019085,33,17147
1779676609.502598,41,17147
1779676610.0032797,85,17147
1779676610.5040262,75,17147
1779676611.0066712,71,17147
1779676611.5074124,58,17147
1779676612.0117795,34,17147
1779676612.5126603,78,17147
1779676613.01342,65,17147
1779676613.5156755,59,17147
1779676614.0163581,64,17147
1779676614.5170655,63,17147
1779676615.0177026,39,17147
1779676615.518383,73,17147
1779676616.0191233,66,17147
1779676616.5216885,67,17147
1779676617.022423,69,17147
1779676617.523097,35,17147
1779676618.023778,36,17147
1779676618.5245585,42,17147
1779676619.025303,67,17141
1779676619.528688,66,17147
1779676620.0294166,65,17147
1779676620.5296729,67,17147
1779676621.0317233,54,17147
1779676621.53251,65,17147
1779676622.0336804,65,17147
1779676622.5343442,69,17147
1779676623.0346615,72,17147
1779676623.5355966,62,17147
1779676624.0362558,79,17147
1779676624.5366595,82,17147
1779676625.0368981,86,17147
1779676625.5370204,88,17147
1779676626.0372138,46,17147
1779676626.5376647,29,17147
1779676627.0383341,31,17147
1779676627.538714,28,17147
1779676628.0395122,28,17147
1779676628.540245,28,17147
1779676629.040712,28,17147
1779676629.541399,29,17147
1779676630.0416837,41,17147
1779676630.5423002,68,17147
1779676631.042973,84,17147
1779676631.5447128,70,17147
1779676632.0455356,67,17147
1779676632.5463426,25,17147
1779676633.0476754,72,17147
1779676633.5484014,71,17147
1779676634.0489013,72,17147
1779676634.5496573,67,17147
1779676635.0504296,60,17147
1779676635.551746,72,17147
1779676636.0527093,72,17141
1779676636.553441,68,17147
1779676637.0566678,64,17147
1779676637.5573618,65,17147
1779676638.0586848,72,17147
1779676638.5595317,60,17147
1779676639.0603352,70,17141
1779676639.5606837,74,17147
1779676640.0614078,28,17147
1779676640.5656796,67,17147
1779676641.0664217,66,17141
1779676641.567678,70,17147
1779676642.0684867,72,17147
1779676642.569319,31,17147
1779676643.0696802,30,17147
1779676643.570397,32,17147
1779676644.0711105,69,17147
1779676644.5717862,73,17147
1779676645.07246,69,17147
1779676645.572739,66,17147
1779676646.0746834,68,17147
1779676646.575418,75,17147
1779676647.075785,72,17147
1779676647.576701,64,17147
1779676648.0775192,64,17147
1779676648.5783694,65,17147
1779676649.0792,63,17147
1779676649.5797172,63,17147
1779676650.0804837,63,17147
1779676650.5807042,55,17147
1779676651.083694,33,17147
1779676651.5844634,67,17147
1779676652.08768,75,17147
1779676652.5884006,65,17147
1779676653.0893345,28,17147
1779676653.5916967,67,17147
1779676654.0923975,67,17147
1779676654.5926733,71,17147
1779676655.0947258,66,17147
1779676655.595675,66,17147
1779676656.0964031,71,17147
1779676656.5976756,75,17147
1779676657.0983694,32,17141
1779676657.5987005,72,17147
1779676658.1006734,68,17147
1779676658.6014137,68,17147
1779676659.1026955,69,17147
1779676659.6034186,72,17147
1779676660.1037455,29,17147
1779676660.6045356,39,17147
1779676661.1066656,67,17147
1779676661.6097162,74,17147
1779676662.110532,71,17147
1779676662.6114337,69,17147
1779676663.1126893,59,17147
1779676663.6134746,68,17147
1779676664.1142955,69,17147
1779676664.6167197,55,17147
1779676665.117483,66,17147
1779676665.617742,52,17147
1779676666.1206698,30,17147
1779676666.6213572,68,17147
1779676667.1227064,68,17141
1779676667.6236272,74,17147
1779676668.124504,69,17147
1779676668.6252828,36,17147
1779676669.1260977,26,17147
1779676669.6266873,71,17147
1779676670.1274495,65,17147
