pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
0,110.856,91.434,16.483,2.847,0
1,162.366,110.122,47.367,4.768,0
2,128.592,111.931,13.71,2.806,0
3,93.098,81.417,8.889,2.728,0
4,91.441,79.77,8.859,2.732,0
5,89.448,78.801,7.626,2.869,0
6,89.84,78.162,8.914,2.658,0
7,87.011,75.23,8.922,2.786,0
8,90.349,79.248,8.305,2.706,0
9,90.209,78.517,8.966,2.663,0
10,84.117,71.986,9.3,2.752,0
11,88.249,75.67,9.841,2.653,0
12,83.096,72.181,8.175,2.665,0
13,81.783,70.318,8.607,2.802,0
14,79.621,70.094,6.843,2.634,0
15,84.432,73.735,8.072,2.566,0
16,80.714,70.353,7.697,2.602,0
17,92.908,79.12,10.615,3.126,0
18,113.025,79.994,30.313,2.668,0
19,90.325,78.664,9.024,2.584,0
20,116.46,104.872,8.611,2.914,0
21,100.29,88.826,8.418,2.98,0
22,114.026,72.757,38.46,2.709,0
23,87.078,75.102,9.106,2.828,0
24,106.157,93.472,9.521,3.09,0
25,97.642,74.947,19.96,2.668,0
26,105.586,93.316,9.011,3.191,0
27,110.431,84.49,23.18,2.709,0
28,97.027,84.442,9.863,2.659,0
29,118.924,98.84,15.973,3.978,0
30,126.891,82.734,41.411,2.668,0
31,95.964,84.771,8.108,3.018,0
32,106.392,93.322,9.885,3.096,0
33,156.803,113.478,38.352,4.878,0
34,135.638,107.064,23.685,4.795,0
35,122.036,108.413,10.591,2.905,0
36,95.253,82.983,9.385,2.772,0
37,95.535,83.29,9.298,2.885,0
38,92.491,81.976,7.656,2.753,0
39,140.812,108.679,26.918,5.067,0
40,123.954,108.399,11.171,4.237,0
41,94.106,81.34,9.809,2.866,0
42,122.284,101.707,17.267,3.222,0
43,120.032,78.622,38.669,2.68,0
44,125.068,111.6,10.699,2.717,0
45,118.992,98.894,15.635,4.339,0
46,111.737,82.092,26.649,2.919,0
47,118.933,105.542,10.072,3.213,0
48,144.241,107.701,30.733,5.707,0
49,140.415,100.72,34.663,4.865,0
50,131.251,107.044,19.149,4.961,0
