timestamp,gpu_util_%,vram_used_mb
1779679253.021887,21,17035
1779679253.5238774,74,17035
1779679254.024707,65,17035
1779679254.5267036,61,17035
1779679255.0274706,67,17035
1779679255.527834,61,17035
1779679256.028674,20,17035
1779679256.529481,66,17035
1779679257.0326664,55,17035
1779679257.5333402,63,17035
1779679258.0342436,72,17035
1779679258.5350764,63,17035
1779679259.035793,33,17035
1779679259.5366151,68,17035
1779679260.0374057,60,17035
1779679260.5376832,66,17035
1779679261.0384636,75,17035
1779679261.5392215,67,17035
1779679262.0400648,63,17035
1779679262.54088,35,17035
1779679263.0416906,69,17035
1779679263.5424976,78,17035
1779679264.04331,70,17035
1779679264.543752,66,17035
1779679265.0445619,65,17035
1779679265.5453506,71,17035
1779679266.0461547,67,17035
1779679266.5467887,66,17035
1779679267.0475144,63,17035
1779679267.548389,64,17035
1779679268.0493004,65,17035
1779679268.5528538,60,17035
1779679269.0538232,68,17035
1779679269.5576704,63,17035
1779679270.0584927,77,17035
1779679270.559283,71,17035
1779679271.0633278,62,17035
1779679271.5641243,57,17035
1779679272.0666916,64,17035
1779679272.5675702,62,17035
1779679273.0684462,59,17035
1779679273.569278,26,17035
1779679274.0698376,63,17035
1779679274.5726688,65,17035
1779679275.0734475,67,17035
1779679275.5756972,77,17035
1779679276.0765224,65,17035
1779679276.5766678,31,17035
1779679277.0773838,80,17035
1779679277.5781274,87,17035
1779679278.0788362,91,17035
1779679278.5794225,90,17035
1779679279.0797515,63,17035
1779679279.5804284,35,17035
1779679280.080756,35,17035
1779679280.5814643,36,17035
1779679281.08223,33,17035
1779679281.583077,33,17035
1779679282.0839036,35,17035
1779679282.5847433,34,17035
1779679283.0854008,35,17035
1779679283.5862172,87,17035
1779679284.087052,77,17035
1779679284.5896633,70,17035
1779679285.090395,67,17035
1779679285.59077,33,17035
1779679286.0916057,72,17035
1779679286.5966768,66,17035
1779679287.0974026,71,17035
1779679287.5978673,66,17035
1779679288.0996737,72,17035
1779679288.6005504,68,17035
1779679289.102733,66,17035
1779679289.6036742,61,17035
1779679290.1057618,72,17035
1779679290.606655,62,17035
1779679291.1073546,63,17035
1779679291.6077795,66,17035
1779679292.108627,69,17035
1779679292.6095557,66,17035
1779679293.1097498,59,17035
1779679293.6126893,45,17035
1779679294.113455,60,17035
1779679294.6137831,66,17035
1779679295.1156802,34,17035
1779679295.6164954,69,17035
1779679296.1186872,66,17035
1779679296.61951,72,17035
1779679297.120247,64,17035
1779679297.6236885,71,17035
1779679298.1244164,39,17035
1779679298.6277106,70,17035
1779679299.128755,66,17035
1779679299.631691,64,17035
1779679300.1324766,59,17035
1779679300.6333532,43,17035
1779679301.1341972,35,17035
1779679301.637794,43,17035
1779679302.1387763,81,17035
1779679302.6395066,71,17035
1779679303.1426725,67,17035
1779679303.6434898,67,17035
1779679304.1442091,22,17035
1779679304.6476948,75,17035
1779679305.1484966,68,17035
1779679305.6492882,76,17035
1779679306.149749,65,17035
1779679306.6504347,53,17035
1779679307.157695,71,17035
1779679307.6584857,67,17035
1779679308.1597216,71,17035
1779679308.6606154,63,17035
1779679309.1614451,24,17035
1779679309.6616774,64,17035
1779679310.162457,61,17035
1779679310.662717,69,17035
1779679311.1634245,69,17035
1779679311.6643434,68,17035
1779679312.165085,62,17035
1779679312.6676834,59,17035
1779679313.1684086,65,17035
1779679313.669698,66,17035
1779679314.1704748,66,17035
1779679314.6713662,25,17035
1779679315.1717281,24,17035
1779679315.6724749,68,17035
1779679316.1727211,61,17035
1779679316.6756735,66,17035
1779679317.1763716,73,17035
1779679317.6767488,60,17035
1779679318.177584,64,17035
1779679318.6786952,74,17035
1779679319.179585,71,17035
1779679319.6806886,66,17035
1779679320.1814654,66,17035
1779679320.6822853,67,17027
