pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
0,130.966,95.895,31.672,3.306,0
1,116.743,82.778,31.249,2.647,0
2,121.536,85.957,30.701,4.769,0
3,128.885,100.57,23.594,4.593,0
4,127.825,84.043,38.775,4.904,0
5,100.496,73.313,23.351,3.668,0
6,121.026,93.54,24.817,2.607,0
7,145.094,99.915,42.397,2.705,0
8,130.861,88.338,37.569,4.829,0
9,151.098,99.124,47.093,4.753,0
10,172.148,113.232,54.034,4.771,0
11,135.349,106.908,23.931,4.326,0
12,144.638,88.566,51.067,4.87,0
13,158.99,103.087,52.911,2.909,0
14,146.402,102.239,39.278,4.773,0
15,158.767,101.401,52.593,4.634,0
16,118.914,92.294,23.609,2.919,0
17,94.051,76.505,14.95,2.504,0
18,95.935,74.711,18.386,2.747,0
19,136.087,92.08,39.119,4.796,0
20,131.504,85.039,41.799,4.59,0
21,123.538,89.915,30.775,2.774,0
22,194.321,136.893,52.728,4.591,0
23,155.72,109.321,41.465,4.807,0
24,139.527,96.691,40.101,2.674,0
25,97.603,76.962,17.673,2.892,0
26,88.237,69.652,15.334,3.177,0
27,112.642,82.818,26.96,2.748,0
28,121.817,92.536,24.433,4.737,0
29,151.744,99.655,47.403,4.589,0
30,132.221,103.91,25.04,3.209,0
31,106.508,77.656,26.111,2.584,0
32,158.038,106.582,47.287,4.089,0
33,112.215,88.879,18.283,4.961,0
34,135.633,103.786,28.353,3.381,0
35,113.395,83.555,27.025,2.74,0
36,145.047,90.395,51.684,2.892,0
37,130.229,101.438,24.447,4.237,0
38,125.882,100.325,22.767,2.664,0
39,91.451,72.292,16.349,2.733,0
40,92.212,74.097,15.132,2.914,0
41,113.616,83.785,27.122,2.601,0
42,94.314,73.259,18.08,2.864,0
43,140.745,92.304,43.465,4.846,0
44,135.196,103.806,28.61,2.702,0
45,128.943,107.019,18.261,3.56,0
46,143.864,89.53,49.609,4.602,0
47,139.79,95.589,39.293,4.784,0
48,129.731,85.646,39.404,4.593,0
49,172.388,121.409,45.884,4.923,0
50,132.054,108.332,19.202,4.343,0
51,100.235,80.78,16.669,2.698,0
52,131.331,94.065,32.616,4.567,0
53,110.105,85.088,21.792,3.156,0
54,141.202,86.55,49.999,4.569,0
55,105.493,85.49,17.202,2.729,0
56,111.333,92.409,15.698,3.133,0
57,103.385,79.264,21.142,2.812,0
58,142.016,100.277,38.413,3.246,0
