timestamp,gpu_util_%,vram_used_mb
1779676014.6761417,67,17091
1779676015.1787891,64,17091
1779676015.6796317,65,17091
1779676016.180239,75,17091
1779676016.6807761,67,17091
1779676017.1815538,64,17091
1779676017.6823368,56,17091
1779676018.1826751,75,17091
1779676018.6833107,46,17091
1779676019.1840515,70,17091
1779676019.6847014,76,17091
1779676020.185453,72,17091
1779676020.6857405,76,17091
1779676021.1864226,39,17091
1779676021.6872487,42,17091
1779676022.18782,75,17091
1779676022.6899958,75,17091
1779676023.190757,68,17091
1779676023.691483,63,17091
1779676024.1917675,51,17091
1779676024.6924982,67,17091
1779676025.1933968,73,17091
1779676025.6937833,71,17091
1779676026.1947541,75,17091
1779676026.695558,75,17091
1779676027.196342,66,17091
1779676027.6966987,40,17091
1779676028.198712,76,17091
1779676028.6995037,70,17091
1779676029.2006812,70,17091
1779676029.7013874,70,17091
1779676030.2020571,68,17091
1779676030.702786,39,17091
1779676031.2056837,59,17091
1779676031.706153,75,17091
1779676032.2069573,67,17091
1779676032.7077327,72,17091
1779676033.2084792,72,17091
1779676033.7092514,42,17091
1779676034.2097378,67,17091
1779676034.7104495,71,17091
1779676035.213697,66,17091
1779676035.7144792,64,17091
1779676036.2153094,70,17091
1779676036.7176754,73,17091
1779676037.2183251,76,17091
1779676037.7188182,80,17091
1779676038.2206845,64,17091
1779676038.7214444,66,17091
1779676039.2217362,74,17091
1779676039.7236965,69,17091
1779676040.224358,64,17091
1779676040.7267697,71,17091
1779676041.2275681,66,17091
1779676041.7283268,58,17091
1779676042.2316928,64,17091
1779676042.7324858,59,17091
1779676043.2328537,68,17091
1779676043.7332132,34,17091
1779676044.234015,32,17091
1779676044.7346685,36,17091
1779676045.2352746,69,17091
1779676045.7356079,83,17091
1779676046.2363198,69,17091
1779676046.7367668,63,17091
1779676047.2376902,43,17091
1779676047.7385247,62,17091
1779676048.2387054,74,17091
1779676048.7394803,64,17091
1779676049.24058,73,17091
1779676049.7413533,72,17091
1779676050.2417147,45,17091
1779676050.7425098,38,17091
1779676051.2427974,79,17091
1779676051.7437153,70,17091
1779676052.2444093,72,17091
1779676052.7467008,72,17091
1779676053.247512,59,17091
1779676053.749721,73,17091
1779676054.25057,60,17091
1779676054.7513034,58,17091
1779676055.2533062,72,17091
1779676055.7537103,75,17091
1779676056.2557054,72,17091
1779676056.7564888,68,17091
1779676057.2566729,73,17091
1779676057.757383,73,17091
1779676058.2581768,39,17091
1779676058.7602298,67,17091
1779676059.2610762,69,17091
1779676059.763683,66,17091
1779676060.2644575,75,17091
1779676060.7652779,67,17091
1779676061.265734,72,17091
1779676061.7664707,74,17091
1779676062.2672412,39,17091
1779676062.7680268,64,17091
1779676063.2688272,66,17091
1779676063.7695823,72,17091
1779676064.2716763,71,17091
1779676064.7723556,75,17091
1779676065.2728262,42,17091
1779676065.7736409,40,17091
1779676066.2744148,44,17091
1779676066.774658,48,17091
1779676067.2754164,49,17091
1779676067.7760792,50,17091
1779676068.2767384,51,17091
1779676068.7773967,49,17091
1779676069.277685,52,17091
1779676069.7781515,84,17091
1779676070.2786834,100,17091
1779676070.7792447,100,17091
1779676071.2796981,100,17091
1779676071.7802463,100,17091
1779676072.2806692,100,17091
1779676072.781145,100,17091
1779676073.2816508,100,17091
1779676073.7817836,100,17091
1779676074.2823617,91,17091
1779676074.7829309,72,17091
1779676075.2835574,72,17091
1779676075.787279,72,17091
1779676076.2887027,72,17091
1779676076.789394,63,17091
1779676077.2923372,71,17091
1779676077.7926993,66,17091
