pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
0,172.225,115.26,51.897,4.882,0
1,175.809,122.377,48.398,4.91,0
2,168.685,103.431,59.067,6.047,0
3,157.377,105.821,46.676,4.765,0
4,123.636,103.938,16.657,2.924,0
5,171.536,108.06,58.786,4.609,0
6,123.311,96.92,23.454,2.823,0
7,126.404,90.626,32.472,3.209,0
8,108.863,86.916,18.915,2.879,0
9,146.472,96.575,40.286,9.528,0
10,129.634,84.849,41.806,2.918,0
11,109.733,88.766,18.059,2.823,0
12,131.164,97.028,30.568,3.456,0
13,109.091,86.794,19.377,2.778,0
14,129.888,95.93,30.557,3.303,0
15,107.167,77.48,26.752,2.825,0
16,142.021,104.831,32.194,4.878,0
17,217.165,122.589,89.22,5.124,0
18,178.2,115.828,57.542,4.705,0
19,130.096,94.918,32.269,2.835,0
20,112.311,80.511,28.553,3.172,0
21,130.135,81.931,45.463,2.677,0
22,137.419,90.141,42.454,4.716,0
23,167.194,105.872,55.645,5.524,0
24,134.592,94.994,36.617,2.795,0
25,124.645,96.405,24.973,3.165,0
26,129.396,93.403,32.663,3.271,0
27,105.543,83.293,19.365,2.782,0
28,132.677,97.057,32.236,3.33,0
29,137.834,88.158,46.636,2.964,0
30,104.452,83.24,18.121,3.012,0
31,130.054,98.804,27.65,3.471,0
32,106.78,83.599,20.238,2.809,0
33,132.292,99.907,28.991,3.305,0
34,121.075,85.289,32.909,2.793,0
35,109.24,87.721,18.628,2.808,0
36,120.12,96.781,20.479,2.759,0
37,107.627,81.208,23.23,3.105,0
38,130.655,100.48,26.835,3.261,0
39,106.249,83.077,20.134,2.914,0
40,120.976,100.344,17.714,2.841,0
41,97.277,76.073,17.893,3.233,0
42,94.814,75.156,16.758,2.817,0
43,96.701,72.72,21.109,2.812,0
44,93.694,72.353,18.462,2.82,0
45,91.166,72.1,16.233,2.774,0
46,95.232,73.197,19.163,2.819,0
47,92.276,74.063,15.412,2.741,0
48,90.104,70.155,17.199,2.687,0
49,89.918,71.199,15.906,2.744,0
50,97.533,64.099,29.427,3.936,0
51,112.805,74.757,35.328,2.672,0
52,110.862,88.418,19.593,2.801,0
53,116.626,94.669,18.802,3.097,0
54,101.099,80.532,17.687,2.747,0
55,129.346,93.837,32.152,3.29,0
56,128.802,89.607,36.526,2.627,0
57,104.662,82.426,19.464,2.722,0
58,120.695,86.02,31.373,3.256,0
59,127.654,78.575,46.31,2.701,0
60,106.919,84.943,19.022,2.888,0
61,133.351,97.458,32.169,3.636,0
62,167.362,102.215,60.183,4.852,0
63,166.468,102.473,59.019,4.873,0
64,142.982,98.052,41.934,2.916,0
65,166.516,118.737,44.907,2.795,0
66,156.372,93.957,56.691,5.613,0
67,119.266,85.351,30.432,3.3,0
68,113.852,92.928,18.045,2.809,0
69,128.84,105.509,20.343,2.922,0
70,133.806,100.483,29.204,3.976,0
71,102.755,80.242,19.519,2.861,0
72,129.855,92.697,33.916,3.164,0
73,119.966,78.757,38.324,2.808,0
74,137.155,96.458,34.009,6.575,0
75,138.859,99.962,34.918,3.874,0
76,115.951,83.034,29.747,3.082,0
77,125.255,99.265,22.938,2.966,0
78,122.924,87.868,31.721,3.256,0
79,107.575,85.489,19.189,2.812,0
80,137.202,100.595,32.957,3.585,0
81,130.882,81.256,46.823,2.726,0
82,119.828,96.58,20.403,2.795,0
83,170.027,110.059,54.662,5.148,0
84,137.875,105.646,28.99,3.16,0
85,111.044,88.956,19.086,2.841,0
86,139.343,99.171,36.727,3.36,0
87,143.535,99.469,41.126,2.865,0
88,101.054,76.966,21.126,2.898,0
89,104.106,79.169,22.06,2.818,0
90,118.504,83.721,31.42,3.304,0
91,123.716,85.514,35.292,2.844,0
92,148.439,95.144,48.77,4.429,0
93,117.253,96.319,18.157,2.712,0
94,99.829,77.042,19.976,2.746,0
95,101.306,77.405,20.926,2.909,0
96,101.523,78.188,20.349,2.921,0
97,95.796,73.239,19.692,2.789,0
98,97.805,76.999,18.001,2.746,0
99,132.687,81.423,46.21,4.925,0
100,134.302,99.516,29.922,4.749,0
