timestamp,gpu_util_%,vram_used_mb
1777591226.56455,13,4180
1777591227.074947,13,4180
1777591227.5757265,13,4180
1777591228.0765412,13,4180
1777591228.5769417,8,4180
1777591229.0777626,13,4180
1777591229.5784898,9,4180
1777591230.078945,14,4180
1777591230.5796692,10,4180
1777591231.0804017,8,4180
1777591231.5808518,10,4180
1777591232.0815487,9,4180
1777591232.5819926,4,4180
1777591233.0827348,10,4180
1777591233.5835447,10,4180
1777591234.0838523,10,4180
1777591234.5846496,10,4180
1777591235.0849705,4,4180
1777591235.5856695,9,4180
1777591236.086395,5,4180
1777591236.5869322,8,4180
1777591237.0876324,11,4180
1777591237.587849,7,4180
1777591238.088552,10,4180
1777591238.5888512,13,4180
1777591239.089559,9,4180
1777591239.5898488,13,4180
1777591240.09056,8,4180
1777591240.5908504,13,4180
1777591241.0915468,13,4180
1777591241.5918572,10,4180
1777591242.0925672,13,4180
1777591242.5928504,9,4180
1777591243.0935698,13,4180
1777591243.5938492,9,4180
1777591244.094552,13,4180
1777591244.5949404,10,4180
1777591245.095741,8,4180
1777591245.5965316,10,4180
1777591246.0968523,9,4180
1777591246.5975473,4,4180
1777591247.0978537,10,4180
1777591247.598645,4,4180
1777591248.0994256,10,4180
1777591248.6002204,11,4180
1777591249.100936,10,4180
1777591249.60173,10,4180
1777591250.1024632,4,4180
1777591250.6028762,9,4180
1777591251.1036563,10,4180
1777591251.6044827,8,4180
1777591252.1052938,10,4180
1777591252.606281,13,4180
1777591253.107068,9,4180
1777591253.6077926,13,4180
1777591254.108533,8,4180
1777591254.6093254,13,4180
1777591255.11005,12,4180
1777591255.610762,12,4180
1777591256.1114893,13,4180
1777591256.6119347,9,4180
1777591257.1127849,13,4180
1777591257.6135955,10,4180
1777591258.113867,14,4180
1777591258.6147113,10,4180
1777591259.1157582,8,4180
1777591259.6165645,10,4180
1777591260.117361,9,4180
1777591260.6180658,4,4180
1777591261.1187866,10,4180
1777591261.6196032,4,4180
1777591262.1204135,10,4180
1777591262.6211932,11,4180
1777591263.121989,10,4180
1777591263.6227717,10,4180
1777591264.1235886,4,4180
1777591264.6243896,9,4180
1777591265.1249416,8,4180
1777591265.6256444,8,4180
1777591266.1263814,11,4180
1777591266.6271644,9,4180
1777591267.1275778,10,4180
1777591267.6285195,13,4180
1777591268.1292765,9,4180
1777591268.6300895,13,4180
1777591269.1309211,8,4180
1777591269.6317427,13,4180
1777591270.1325417,13,4180
1777591270.6333148,14,4180
1777591271.1338773,13,4180
1777591271.6346636,8,4180
1777591272.135485,13,4180
1777591272.6362822,9,4180
1777591273.137068,13,4180
1777591273.6378655,10,4180
1777591274.1386573,8,4180
1777591274.6394398,10,4180
1777591275.1398516,9,4180
1777591275.6406176,4,4180
1777591276.1414242,10,4180
1777591276.642037,8,4180
1777591277.1427908,10,4180
1777591277.643708,10,4180
1777591278.1443498,4,4180
1777591278.6448624,9,4180
1777591279.1455655,4,4180
1777591279.6463604,9,4180
1777591280.147162,10,4180
1777591280.64795,7,4180
1777591281.1487448,10,4180
1777591281.6494677,13,4180
1777591282.150167,9,4180
1777591282.6509583,13,4180
1777591283.1517644,8,4180
1777591283.65258,13,4180
1777591284.152893,10,4180
1777591284.6538556,14,4180
1777591285.1546516,10,4180
1777591285.655485,8,4180
1777591286.156274,10,4180
1777591286.6570702,9,4180
1777591287.157857,4,4180
1777591287.65856,10,4180
1777591288.15885,5,4180
1777591288.659548,10,4180
1777591289.159914,11,4180
1777591289.660613,10,4180
1777591290.1608508,10,4180
1777591290.6612566,4,4180
1777591291.1618514,6,4180
1777591291.6625865,1,4180
1777591292.1628518,3,4180
1777591292.6635804,3,4180
1777591293.1638584,13,4180
1777591293.6645553,13,4180
1777591294.16533,10,4180
1777591294.665859,10,4180
1777591295.1665735,6,4180
1777591295.6668532,1,4180
1777591296.1675136,13,4180
1777591296.6678507,13,4180
1777591297.168559,4,4180
1777591297.6688557,4,4180
1777591298.1694613,13,4180
1777591298.6698525,6,4180
1777591299.1706626,9,4180
1777591299.6714764,8,4180
1777591300.1722834,7,4180
1777591300.673105,7,4180
1777591301.1739056,13,4180
1777591301.6742241,13,4180
1777591302.1750257,4,4180
1777591302.675838,4,4180
1777591303.1765459,6,4180
1777591303.6773634,3,4180
1777591304.1781638,13,4180
1777591304.6789532,13,4180
1777591305.1797323,4,4180
1777591305.6805785,10,4180
1777591306.1809602,2,4180
1777591306.6816747,3,4180
1777591307.1819348,13,4180
1777591307.6827338,4,4180
1777591308.183471,6,4180
1777591308.6840892,8,4180
1777591309.1848917,13,4180
1777591309.685679,13,4180
1777591310.1865087,10,4180
1777591310.6872947,10,4180
1777591311.1879363,7,4180
1777591311.6887288,6,4180
1777591312.1894674,10,4180
1777591312.6902554,13,4180
1777591313.1908529,4,4180
1777591313.6915474,4,4180
1777591314.1923342,6,4180
1777591314.6931312,8,4180
1777591315.1939163,13,4180
1777591315.6947212,6,4180
1777591316.1957734,8,4180
1777591316.6966007,13,4180
1777591317.1970322,10,4180
1777591317.6978388,8,4180
1777591318.1986282,9,4180
1777591318.6994588,6,4180
1777591319.2002528,9,4180
1777591319.7008662,13,4180
1777591320.2016578,4,4180
1777591320.7024715,13,4180
1777591321.2032583,10,4180
1777591321.7040403,13,4180
1777591322.204739,9,4180
1777591322.7055347,13,4180
1777591323.2063267,8,4180
1777591323.7070453,11,4180
1777591324.2078602,10,4180
1777591324.708558,9,4180
1777591325.2093267,8,4180
1777591325.7101147,6,4180
1777591326.2109392,13,4180
1777591326.7117336,0,4180
1777591327.2125478,6,4180
1777591327.7128587,2,4180
1777591328.2137685,3,4180
1777591328.7145035,6,4180
1777591329.2148535,0,4180
1777591329.7156508,10,4180
1777591330.21646,8,4180
1777591330.7168562,0,4180
1777591331.217559,0,4180
1777591331.7178538,10,4180
1777591332.2185655,9,4180
1777591332.7188532,13,4180
1777591333.219552,13,4180
1777591333.7203565,0,4180
1777591334.221161,0,4180
1777591334.7219627,13,4180
1777591335.2227418,13,4180
1777591335.7235758,13,4180
1777591336.2238607,13,4180
1777591336.7247183,7,4180
1777591337.2255552,9,4180
1777591337.7263417,13,4180
1777591338.2271357,4,4180
1777591338.727925,13,4180
1777591339.2287145,9,4180
1777591339.7295387,13,4180
1777591340.2303164,9,4180
1777591340.7311094,13,4180
1777591341.2318103,13,4180
1777591341.7326858,0,4180
1777591342.2335114,7,4180
1777591342.7343113,0,4180
1777591343.2348642,6,4180
1777591343.7355754,0,4180
1777591344.236363,6,4180
1777591344.73673,1,4180
1777591345.2370806,0,4180
1777591345.7378662,3,4180
1777591346.2385798,3,4180
1777591346.7393706,8,4180
1777591347.239941,3,4180
1777591347.7407181,10,4180
1777591348.241448,3,4180
1777591348.7422423,9,4180
1777591349.243066,3,4180
1777591349.7438626,10,4180
1777591350.2445633,8,4180
1777591350.7453399,13,4180
1777591351.2461565,10,4180
1777591351.7469463,13,4180
1777591352.2477343,7,4180
1777591352.7485428,9,4180
1777591353.2493412,3,4180
1777591353.7501435,3,4180
1777591354.2509365,0,4180
1777591354.7516572,3,4180
