pair,wall_ms,superpoint_ms,mambaglue_ms,geometry_ms,degenerate
0,307.33,212.302,78.31,16.644,0
1,307.706,212.172,77.977,17.483,0
2,310.682,213.125,77.754,19.727,0
3,307.522,212.939,77.974,16.528,0
4,307.775,212.716,78.336,16.646,0
5,306.97,212.388,77.707,16.792,0
6,308.086,212.427,78.925,16.645,0
7,309.728,214.894,78.096,16.66,0
8,312.255,211.769,77.873,22.534,0
9,309.308,215.082,77.501,16.637,0
10,309.559,214.68,77.948,16.834,0
11,308.28,213.182,78.192,16.818,0
12,310.079,215.335,77.814,16.84,0
13,308.276,213.027,78.291,16.869,0
14,310.339,214.846,78.559,16.843,0
15,309.462,215.006,77.642,16.725,0
16,308.258,212.582,78.826,16.763,0
17,312.383,215.163,80.216,16.92,0
18,310.328,215.613,77.685,16.942,0
19,311.385,216.651,77.972,16.685,0
20,310.048,215.668,77.342,16.958,0
21,309.629,215.192,77.614,16.744,0
22,309.125,214.325,78.045,16.667,0
23,308.855,214.346,77.682,16.747,0
24,310.134,216.222,77.076,16.753,0
25,309.988,215.413,77.865,16.629,0
26,309.679,215.371,77.487,16.74,0
27,310.633,215.126,78.683,16.744,0
28,306.242,211.444,77.959,16.758,0
29,307.071,211.691,78.441,16.858,0
30,308.074,213.121,78.138,16.734,0
31,306.559,211.214,78.47,16.78,0
32,307.292,211.819,78.578,16.806,0
33,306.545,211.689,77.95,16.826,0
34,308.562,212.826,78.387,17.247,0
35,307.067,212.054,77.996,16.915,0
36,306.07,211.497,77.889,16.606,0
37,309.17,212.755,79.024,17.313,0
38,307.155,212.207,78.154,16.713,0
39,308.645,211.898,79.847,16.809,0
40,307.884,213.088,78.023,16.682,0
41,306.322,211.488,77.951,16.796,0
42,308.245,213.037,78.391,16.737,0
43,308.133,213.32,77.948,16.778,0
44,307.037,212.232,77.85,16.868,0
45,306.73,211.568,78.324,16.746,0
46,306.937,212.261,77.858,16.738,0
47,308.528,213.893,77.866,16.688,0
48,307.93,213.228,77.899,16.723,0
49,308.204,213.52,77.847,16.747,0
50,307.726,212.771,78.039,16.835,0
51,307.584,212.749,77.974,16.781,0
52,306.299,211.992,77.443,16.784,0
53,307.684,212.18,78.37,17.05,0
54,304.161,209.919,77.411,16.744,0
55,307.805,213.096,77.792,16.834,0
56,308.99,212.842,78.276,17.779,0
57,306.833,212.109,77.848,16.787,0
58,308.194,213.321,78.052,16.741,0
59,306.142,211.042,78.174,16.844,0
60,306.822,212.236,77.948,16.558,0
61,307.562,212.749,78.068,16.664,0
62,307.049,212.988,77.145,16.833,0
63,306.907,211.696,78.396,16.734,0
64,306.333,211.627,77.876,16.742,0
65,305.891,211.088,77.789,16.923,0
66,306.76,211.496,78.261,16.909,0
67,306.024,211.079,78.054,16.801,0
68,306.689,211.564,78.236,16.807,0
69,308.394,213.029,78.738,16.531,0
70,310.652,215.856,77.987,16.727,0
71,309.345,214.798,77.814,16.655,0
72,305.85,211.515,77.482,16.779,0
73,307.115,212.463,77.816,16.754,0
74,308.754,214.458,77.434,16.781,0
75,306.656,211.6,78.14,16.833,0
76,309.382,215.064,77.477,16.759,0
77,308.647,213.45,78.308,16.801,0
78,309.564,214.591,78.02,16.869,0
79,309.609,214.895,77.849,16.787,0
80,309.014,215.215,77.045,16.673,0
81,308.071,213.159,78.121,16.713,0
82,308.947,215.143,77.02,16.705,0
83,311.1,213.884,80.355,16.77,0
84,307.073,212.552,77.711,16.731,0
85,307.08,212.11,77.994,16.894,0
